Problem, Method, Param1, Param2, Param3, SolutionValue, Time
1, GA,100,10,0.01,1269.0,3.92436695099
1, SA,500,0.85,1e-05,1272.0,0.413181066513
1, GA,100,10,0.05,996.0,3.91092014313
1, SA,500,0.85,0.001,1201.0,0.296503067017
1, GA,100,10,0.1,1432.0,3.92313599586
1, SA,500,0.85,0.1,1203.0,0.20445394516
1, GA,100,25,0.01,1244.0,4.98217391968
1, SA,500,0.9,1e-05,1320.0,0.628443956375
1, GA,100,25,0.05,1255.0,4.98802709579
1, SA,500,0.9,0.001,1294.0,0.464857816696
1, GA,100,25,0.1,1120.0,5.00746798515
1, SA,500,0.9,0.1,1245.0,0.293797969818
1, GA,100,50,0.01,1046.0,6.77976107597
1, SA,500,0.95,1e-05,1367.0,1.26686286926
1, GA,100,50,0.05,1273.0,6.79115104675
1, SA,500,0.95,0.001,1382.0,0.936999082565
1, GA,100,50,0.1,1319.0,6.80075788498
1, SA,500,0.95,0.1,1243.0,0.625356912613
1, GA,100,100,0.01,951.0,0.0788280963898
1, SA,500,0.99,1e-05,1361.0,6.50523209572
1, GA,100,100,0.05,1165.0,0.0786418914795
1, SA,500,0.99,0.001,1350.0,4.79373788834
1, GA,100,100,0.1,892.0,0.0792031288147
1, SA,500,0.99,0.1,1336.0,3.11001491547
1, GA,200,10,0.01,1501.0,6.97501802444
1, SA,750,0.85,1e-05,1248.0,0.415117025375
1, GA,200,10,0.05,1211.0,7.0626540184
1, SA,750,0.85,0.001,1316.0,0.31568980217
1, GA,200,10,0.1,1225.0,7.06087589264
1, SA,750,0.85,0.1,1316.0,0.203973054886
1, GA,200,25,0.01,1191.0,8.17422413826
1, SA,750,0.9,1e-05,1310.0,0.652431964874
1, GA,200,25,0.05,1215.0,8.23559403419
1, SA,750,0.9,0.001,1311.0,0.489190816879
1, GA,200,25,0.1,1447.0,8.2383658886
1, SA,750,0.9,0.1,1274.0,0.313879966736
1, GA,200,50,0.01,1273.0,10.1832580566
1, SA,750,0.95,1e-05,1304.0,1.32223320007
1, GA,200,50,0.05,1204.0,10.2353150845
1, SA,750,0.95,0.001,1399.0,0.990680932999
1, GA,200,50,0.1,1396.0,10.2563090324
1, SA,750,0.95,0.1,1280.0,0.636586904526
1, GA,200,100,0.01,1402.0,14.1952540874
1, SA,750,0.99,1e-05,1380.0,6.69273996353
1, GA,200,100,0.05,1418.0,14.2243258953
1, SA,750,0.99,0.001,1371.0,4.97874903679
1, GA,200,100,0.1,1260.0,17.2008810043
1, SA,750,0.99,0.1,1266.0,3.2696211338
1, GA,500,10,0.01,1304.0,16.5890340805
1, SA,1000,0.85,1e-05,1250.0,0.416778802872
1, GA,500,10,0.05,1207.0,23.6207990646
1, SA,1000,0.85,0.001,1275.0,0.321625232697
1, GA,500,10,0.1,1287.0,16.5621631145
1, SA,1000,0.85,0.1,1301.0,0.204215049744
1, GA,500,25,0.01,1225.0,25.0675570965
1, SA,1000,0.9,1e-05,1282.0,0.646107912064
1, GA,500,25,0.05,1217.0,25.3472509384
1, SA,1000,0.9,0.001,1311.0,0.478143930435
1, GA,500,25,0.1,1347.0,25.3008458614
1, SA,1000,0.9,0.1,1304.0,0.329118967056
1, GA,500,50,0.01,1434.0,20.4498598576
1, SA,1000,0.95,1e-05,1342.0,1.32040596008
1, GA,500,50,0.05,1388.0,27.7146368027
1, SA,1000,0.95,0.001,1275.0,0.985335111618
1, GA,500,50,0.1,1327.0,21.1547141075
1, SA,1000,0.95,0.1,1264.0,0.666671991348
1, GA,500,100,0.01,1593.0,25.532189846
1, SA,1000,0.99,1e-05,1396.0,6.77585411072
1, GA,500,100,0.05,1484.0,25.5937261581
1, SA,1000,0.99,0.001,1357.0,5.06092715263
1, GA,500,100,0.1,1537.0,25.719586134
1, SA,1000,0.99,0.1,1343.0,3.39538693428
1, GA,750,10,0.01,1359.0,35.0838329792
1, SA,2000,0.85,1e-05,1328.0,0.42205119133
1, GA,750,10,0.05,1306.0,24.4062440395
1, SA,2000,0.85,0.001,1248.0,0.338409900665
1, GA,750,10,0.1,1389.0,24.7683961391
1, SA,2000,0.85,0.1,1214.0,0.221145153046
1, GA,750,25,0.01,1230.0,26.5246639252
1, SA,2000,0.9,1e-05,1301.0,0.673768043518
1, GA,750,25,0.05,1218.0,36.9607899189
1, SA,2000,0.9,0.001,1208.0,0.50395488739
1, GA,750,25,0.1,1345.0,26.2192540169
1, SA,2000,0.9,0.1,1361.0,0.349935054779
1, GA,750,50,0.01,1509.0,28.8807480335
1, SA,2000,0.95,1e-05,1315.0,1.39512896538
1, GA,750,50,0.05,1503.0,29.4380149841
1, SA,2000,0.95,0.001,1306.0,1.03979206085
1, GA,750,50,0.1,1503.0,29.1467020512
1, SA,2000,0.95,0.1,1318.0,0.70779299736
1, GA,750,100,0.01,1434.0,35.1609811783
